,C1,C4,C5,C6,S2,S3,S1_impute,T2_impute,T5_impute,C3_impute,C7_impute,T1_impute,T3_impute,T4_impute,C5`,C6`,words_per_sentence,real_word_per_word,non_real_word_per_word,short_sentences,short_sentences_per_sent,long_sentences_per_sent,long_words_per_sent,pos_words_percent,neg_words_percent,uncertain_words_percent,total_shares,sales_per_share,outstanding_share_per,offering_share_per,words_per_pos_words,words_per_neg_words,words_per_uncertain
522,0.2992518703241895,0.4396479461382897,0.22533143349003376,0.24206901601784647,0.06550218340611354,0.15877862595419845,0.5220588235294118,0.14101617398346872,0.34782608695652173,0.0,0.01372147280718162,0.1745810055865922,0.13336318027994679,0.2811946902654867,0.5052074077596452,0.0,0.3317782186557636,0.4229759771355859,0.0,0.44347630403825433,0.808328532467016,0.49625137054253265,1.0,0.9999999999999999,0.08576838812501208,0.3958262066628847,0.21453429768007237,0.019787552258192325,0.5556641549410528,0.4443358450589466,0.0,0.7807576743601025,0.38480350424428783
523,0.26334164588528675,0.39008622213553185,0.32347241102252106,0.1955172821682606,0.30131004366812225,0.3460559796437659,0.33088235294117646,0.3430123150949239,0.47778308647873863,0.5430584551148225,0.15045189654447402,0.3240223463687151,0.3466283923468918,0.40154867256637167,0.8548554258313145,0.0,0.6085683555473196,0.6783520621864767,0.0,0.43571960925579667,0.5252189535221243,0.5033363532980188,0.7093547327730517,0.479181663845079,0.47370487589553223,0.5554206317137996,0.28458582164035034,0.1715676749726431,0.7428785881960638,0.2571214118039356,0.4034799015960222,0.43763941658801975,0.4308731226304781
524,1.0,0.7168814341002496,1.0000000000000002,0.9999999999999999,0.29694323144104806,0.4519083969465648,0.6102941176470589,0.49631976370262737,0.5565217391304348,0.5138308977035491,0.08706602924096167,0.5991620111731845,0.4855220362640402,0.543141592920354,0.582559823828007,0.0,0.3413242245579622,0.4651785461051805,0.0,0.6953016781734098,0.35167757826940216,0.29486823335599266,0.529933285258123,0.7563291989361015,0.3043157745792485,0.5278574007509494,1.0,0.02217955121104234,0.6120817296838517,0.3879182703161479,0.2465881741381113,0.6530520351755899,0.4957020350828735
525,0.2354114713216957,0.46211705544920234,0.1539079080379377,0.1955172821682606,0.04803493449781658,0.0,0.1176470588235294,0.04363878897596532,0.1773530817009078,0.0,0.15045189654447402,0.03770949720670391,0.04371699827502207,0.1661504424778761,0.43823236502503293,0.0,0.4596145320164491,0.6798919518835582,0.0,0.5123607768672522,1.0000000000000002,0.4358671528865461,0.5869964035604646,0.6927855732722004,0.45024388469265475,0.42130185995777836,0.14868374819785485,0.2893444455096103,0.49521031097814805,0.5047896890218521,0.3115738832371594,0.5365954995738904,0.6276575378878708
526,0.3511221945137157,0.37009126189031083,0.9539240654404169,0.5912070198897403,0.31004366812227074,0.40305343511450376,0.4558823529411765,0.4030394702365356,0.5007166746297181,0.5326200417536534,0.09594880874183821,0.41480446927374304,0.41520614144819146,0.46880530973451323,0.8668042235610327,0.9999999999999999,0.521546542265436,0.7983197503846675,0.0,0.4554993384580639,0.42981994471044527,0.4853872129766177,0.6030149000362967,0.6038399609376203,0.39757918429833605,0.5429556063321562,0.8630313364868262,0.039941208948054426,0.7470435492465091,0.2529564507534904,0.3037329434532938,0.5016316153876297,0.43678111140515014
527,0.2952618453865336,0.8440913094302875,0.602578787527799,0.3212069635621424,0.43231441048034935,0.4641221374045801,0.33088235294117646,0.4179986184226197,0.5205924510272336,0.38021920668058456,0.01567609030100819,0.4832402234636872,0.4218953688950924,0.5148230088495576,0.9873048365817745,0.30588235294117644,0.3901567131641879,0.6691875331637931,0.0,0.48381926092090755,0.3788045236160733,0.4603479814295459,0.6225273333415123,0.34739263807764476,0.5551014916191517,0.5676328226282813,0.5315200140649837,0.01018002221513796,0.7842360876196743,0.21576391238032477,0.5048477806895907,0.3442505282723375,0.378599510049959
528,0.686284289276808,0.8003533116929724,0.1786716641794227,0.24206901601784647,0.4672489082969432,0.5211195928753181,0.3970588235294118,0.5723065196160169,0.5863354037267081,0.7914926931106472,0.05235271855683107,0.6662011173184358,0.5742201387883018,0.6263274336283187,0.4096708245099209,0.0,0.3839207119941954,0.6261694298866107,0.0,0.5748680318560764,0.2860938064349551,0.3847375423450734,0.44719067723732364,0.386688504202221,0.5316587002020052,0.5631193489193477,0.17713755907000445,0.08803983409513123,0.4651755027039226,0.5348244972960771,0.572828109117833,0.4529536418511615,0.49871927692908885
529,0.3391521197007481,0.3605970568764144,0.6637465233635783,0.5185925064649883,0.4104803493449782,0.6391857506361323,0.9044117647058824,0.6165646363831256,0.7545150501672241,0.5326200417536534,0.2216504337713822,0.6326815642458101,0.635739962866887,0.6599557522123894,0.6863641411761288,0.9999999999999999,0.5441693257327311,0.814570161537663,0.0,0.40181568823798486,0.26424743341708057,0.5350243417666656,0.7431713349455155,0.828913108039305,0.28251265313802865,0.49686098515192956,0.6170361005688455,0.12661284358207242,0.6717627755555491,0.32823722444445047,0.15628079826760594,0.5772557014455894,0.4170509859220087
530,0.3391521197007481,0.18096625129462068,0.13712730680305368,0.1955172821682606,0.3318777292576419,0.3460559796437659,0.44852941176470584,0.34043972273171197,0.38375537505972285,0.5555845511482255,0.03740163474463095,0.38687150837988826,0.33540945182571136,0.4670353982300885,0.3970021232846218,0.0,0.4067281275369308,0.5297724260126859,0.0,0.3760819228545089,0.43198124002285876,0.5598884169765947,0.39120998911567006,0.6207669551684227,0.4680968668154104,0.45604138717808784,0.13523447985871562,0.07720703011660651,0.4508833492360369,0.549116650763963,0.24666053576504599,0.38569012928194535,0.4268069788800026
531,0.33117206982543634,0.5919030714970505,0.7033146565692333,0.4620259584571396,0.4104803493449782,0.5414758269720101,0.6764705882352942,0.5123270050737239,0.6329670329670329,0.6056889352818372,0.3927229648705355,0.45530726256983245,0.5066958113321833,0.5679203539823009,0.8136854898551394,0.37142857142857133,0.7221768803593285,0.5340155780802558,0.0,0.23867601017724605,0.33014609030267494,0.7059500115112163,0.6920061341999345,0.6923962834446123,0.375810682303935,0.5000447883238132,0.6382913452959659,0.21747871566602445,0.7277526003370032,0.2722473996629963,0.21204755398351777,0.46818312194969847,0.4054725641857923
